country_iso_code,year,temperature_change
COD,2008,0.664
COD,2009,0.928
COD,2010,1.347
COD,2011,0.844
COD,2012,0.523
COD,2013,1.003
COD,2014,0.976
COD,2015,1.053
COD,2016,1.546
COD,2017,1.32
COD,2018,1.45
COD,2019,1.483
COD,2020,1.692
COD,2021,1.658
COD,2022,1.48
COG,2000,0.404
COG,2001,0.356
COG,2002,0.752
COG,2003,0.852
COG,2004,0.891
COG,2005,0.912
COG,2006,0.808
COG,2007,0.831
COG,2008,0.74
COG,2009,0.819
COG,2010,1.255
COG,2011,0.651
COG,2012,0.667
COG,2013,0.811
COG,2014,0.744
COG,2015,1.075
COG,2016,1.479
COG,2017,1.159
COG,2018,1.245
COG,2019,1.411
COG,2020,1.5
COG,2021,1.355
COG,2022,1.245
COK,2000,0.303
COK,2001,0.402
COK,2002,0.292
COK,2003,0.262
COK,2004,0.257
COK,2005,0.115
COK,2006,0.314
COK,2007,0.344
COK,2008,0.208
COK,2009,0.077
COK,2010,0.604
COK,2011,0.548
COK,2012,0.258
COK,2013,0.455
COK,2014,0.158
COK,2015,-0.43
COK,2016,0.31
COK,2017,0.675
COK,2018,0.238
COK,2019,0.22
COK,2020,0.274
COK,2021,0.568
COK,2022,0.479
CRI,2000,-0.017
CRI,2001,0.608
CRI,2002,0.894
CRI,2003,0.864
CRI,2004,0.796
CRI,2005,0.584
CRI,2006,0.775
CRI,2007,0.75
CRI,2008,0.349
CRI,2009,1.052
CRI,2010,0.989
CRI,2011,0.564
CRI,2012,
CRI,2013,
CRI,2014,
CRI,2015,
CRI,2016,
CRI,2017,
CRI,2018,
CRI,2019,
CRI,2020,
CRI,2021,
CRI,2022,
HRV,2000,1.601
HRV,2001,1.57
HRV,2002,1.233
HRV,2003,1.244
HRV,2004,0.633
HRV,2005,0.253
HRV,2006,0.68
HRV,2007,1.938
HRV,2008,1.416
HRV,2009,1.454
HRV,2010,0.821
HRV,2011,1.22
HRV,2012,1.809
HRV,2013,1.232
HRV,2014,2.004
HRV,2015,1.895
HRV,2016,1.807
HRV,2017,1.523
HRV,2018,2.282
HRV,2019,2.082
HRV,2020,1.989
HRV,2021,1.582
HRV,2022,2.209
CUB,2000,0.508
CUB,2001,0.535
CUB,2002,0.945
CUB,2003,1.089
CUB,2004,0.872
CUB,2005,0.787
CUB,2006,0.914
CUB,2007,0.902
CUB,2008,0.642
CUB,2009,0.93
CUB,2010,0.957
CUB,2011,0.538
CUB,2012,0.611
CUB,2013,0.885
CUB,2014,1.144
CUB,2015,1.439
CUB,2016,1.37
CUB,2017,1.275
CUB,2018,1.177
CUB,2019,1.634
CUB,2020,1.722
CUB,2021,1.304
CUB,2022,1.437
CYP,2000,0.618
CYP,2001,1.161
CYP,2002,0.836
CYP,2003,0.585
CYP,2004,0.614
CYP,2005,0.335
CYP,2006,0.622
CYP,2007,0.814
CYP,2008,1.031
CYP,2009,0.983
CYP,2010,2.03
CYP,2011,0.715
CYP,2012,0.97
CYP,2013,1.238
CYP,2014,1.048
CYP,2015,1.139
CYP,2016,1.493
CYP,2017,0.776
CYP,2018,2.119
CYP,2019,1.524
CYP,2020,1.668
CYP,2021,1.994
CYP,2022,1.237
CZE,2000,1.914
CZE,2001,1.228
CZE,2002,1.531
CZE,2003,1.081
CZE,2004,0.822
CZE,2005,0.752
CZE,2006,0.957
CZE,2007,2.175
CZE,2008,1.654
CZE,2009,1.435
CZE,2010,0.425
CZE,2011,1.054
CZE,2012,1.596
CZE,2013,0.797
CZE,2014,2.527
CZE,2015,2.141
CZE,2016,2.1
CZE,2017,1.616
CZE,2018,2.672
CZE,2019,2.561
CZE,2020,2.361
CZE,2021,1.321
CZE,2022,2.394
DNK,2000,1.719
DNK,2001,1.044
DNK,2002,1.652
DNK,2003,0.707
DNK,2004,1.032
DNK,2005,1.282
DNK,2006,1.349
DNK,2007,2.136
DNK,2008,1.853
DNK,2009,1.32
DNK,2010,-0.199
DNK,2011,0.677
DNK,2012,1.139
DNK,2013,0.397
DNK,2014,2.677
DNK,2015,1.516
DNK,2016,1.852
DNK,2017,1.619
DNK,2018,2.109
DNK,2019,2.18
DNK,2020,2.633
DNK,2021,1.69
DNK,2022,2.219
DJI,2000,0.834
DJI,2001,0.811
DJI,2002,1.363
DJI,2003,1.468
DJI,2004,0.953
DJI,2005,1.206
DJI,2006,0.889
DJI,2007,0.864
DJI,2008,0.302
DJI,2009,1.404
DJI,2010,1.037
DJI,2011,0.902
DJI,2012,
DJI,2013,1.23
DJI,2014,1.093
DJI,2015,1.586
DJI,2016,1.349
DJI,2017,1.811
DJI,2018,1.421
DJI,2019,1.465
DJI,2020,1.533
DJI,2021,1.129
DJI,2022,1.547
DMA,2000,0.282
DMA,2001,0.518
DMA,2002,0.684
DMA,2003,0.782
DMA,2004,0.491
DMA,2005,0.819
DMA,2006,0.718
DMA,2007,0.871
DMA,2008,0.401
DMA,2009,0.539
DMA,2010,1.193
DMA,2011,0.591
DMA,2012,0.703
DMA,2013,0.715
DMA,2014,0.704
DMA,2015,0.918
DMA,2016,1.057
DMA,2017,0.821
DMA,2018,0.561
DMA,2019,0.752
DMA,2020,1.087
DMA,2021,0.727
DMA,2022,0.688
DOM,2000,0.629
DOM,2001,0.909
DOM,2002,0.96
DOM,2003,1.235
DOM,2004,0.806
DOM,2005,0.967
DOM,2006,1.003
DOM,2007,1.26
DOM,2008,0.667
DOM,2009,0.71
DOM,2010,1.222
DOM,2011,0.543
DOM,2012,0.746
DOM,2013,1.208
DOM,2014,1.106
DOM,2015,1.339
DOM,2016,1.016
DOM,2017,1.032
DOM,2018,1.158
DOM,2019,1.266
DOM,2020,1.488
DOM,2021,0.995
DOM,2022,0.982
