week,week_ending,commit,era,adapter,group,platform,tests_passed,suite_tests,test_pass_pct,functions_supported,suite_functions,function_supported_pct,tests_reported,functions_reported
2026-W17,2026-04-25,04aa4278ec,json,PythonLegendQL,Reverse_PCT,compiled,608,1198,50.75,130,231,56.28,1192,225
2026-W17,2026-04-25,04aa4278ec,json,PythonPandasAPI,Reverse_PCT,compiled,610,1198,50.92,133,231,57.58,1192,225
2026-W17,2026-04-25,04aa4278ec,json,SQL,Reverse_PCT,compiled,469,1198,39.15,112,231,48.48,1192,225
2026-W17,2026-04-25,04aa4278ec,json,Snowflake,Store_Relational,compiled,909,1198,75.88,195,231,84.42,1198,231
2026-W17,2026-04-25,04aa4278ec,json,Spanner,Store_Relational,compiled,304,1198,25.38,95,231,41.13,1198,231
2026-W17,2026-04-25,04aa4278ec,json,SqlServer,Store_Relational,compiled,358,1198,29.88,101,231,43.72,1198,231
2026-W17,2026-04-25,04aa4278ec,json,Trino,Store_Relational,compiled,516,1198,43.07,132,231,57.14,1198,231
2026-W18,2026-05-01,7725cbe627,json,ClickHouse,Store_Relational,compiled,548,1199,45.7,139,231,60.17,1199,231
2026-W18,2026-05-01,7725cbe627,json,Databricks,Store_Relational,compiled,591,1199,49.29,146,231,63.2,1199,231
2026-W18,2026-05-01,7725cbe627,json,Deephaven,Store_Deephaven,compiled,66,1199,5.5,29,231,12.55,673,125
2026-W18,2026-05-01,7725cbe627,json,DuckDB,Store_Relational,compiled,930,1199,77.56,196,231,84.85,1199,231
2026-W18,2026-05-01,7725cbe627,json,H2,Store_Relational,compiled,691,1199,57.63,157,231,67.97,1199,231
2026-W18,2026-05-01,7725cbe627,json,Java,Platform,compiled,476,1199,39.7,138,231,59.74,1111,224
2026-W18,2026-05-01,7725cbe627,json,MemSQL,Store_Relational,compiled,428,1199,35.7,118,231,51.08,1199,231
2026-W18,2026-05-01,7725cbe627,json,Native (compiled),,compiled,1193,1199,99.5,231,231,100.0,1199,231
2026-W18,2026-05-01,7725cbe627,json,Native (interpreted),,interpreted,1192,1199,99.42,231,231,100.0,1199,231
2026-W18,2026-05-01,7725cbe627,json,Oracle,Store_Relational,compiled,512,1199,42.7,123,231,53.25,1199,231
2026-W18,2026-05-01,7725cbe627,json,Postgres,Store_Relational,compiled,676,1199,56.38,152,231,65.8,1199,231
2026-W18,2026-05-01,7725cbe627,json,PythonLegendQL,Reverse_PCT,compiled,608,1199,50.71,130,231,56.28,1193,225
2026-W18,2026-05-01,7725cbe627,json,PythonPandasAPI,Reverse_PCT,compiled,610,1199,50.88,133,231,57.58,1193,225
2026-W18,2026-05-01,7725cbe627,json,SQL,Reverse_PCT,compiled,469,1199,39.12,112,231,48.48,1193,225
2026-W18,2026-05-01,7725cbe627,json,Snowflake,Store_Relational,compiled,910,1199,75.9,195,231,84.42,1199,231
2026-W18,2026-05-01,7725cbe627,json,Spanner,Store_Relational,compiled,304,1199,25.35,95,231,41.13,1199,231
2026-W18,2026-05-01,7725cbe627,json,SqlServer,Store_Relational,compiled,358,1199,29.86,101,231,43.72,1199,231
2026-W18,2026-05-01,7725cbe627,json,Trino,Store_Relational,compiled,516,1199,43.04,132,231,57.14,1199,231
2026-W19,2026-05-08,5972a064c9,json,ClickHouse,Store_Relational,compiled,548,1199,45.7,139,231,60.17,1199,231
2026-W19,2026-05-08,5972a064c9,json,Databricks,Store_Relational,compiled,620,1199,51.71,149,231,64.5,1199,231
2026-W19,2026-05-08,5972a064c9,json,Deephaven,Store_Deephaven,compiled,66,1199,5.5,29,231,12.55,673,125
2026-W19,2026-05-08,5972a064c9,json,DuckDB,Store_Relational,compiled,930,1199,77.56,196,231,84.85,1199,231
2026-W19,2026-05-08,5972a064c9,json,H2,Store_Relational,compiled,691,1199,57.63,157,231,67.97,1199,231
2026-W19,2026-05-08,5972a064c9,json,Java,Platform,compiled,476,1199,39.7,138,231,59.74,1111,224
2026-W19,2026-05-08,5972a064c9,json,MemSQL,Store_Relational,compiled,428,1199,35.7,118,231,51.08,1199,231
2026-W19,2026-05-08,5972a064c9,json,Native (compiled),,compiled,1193,1199,99.5,231,231,100.0,1199,231
2026-W19,2026-05-08,5972a064c9,json,Native (interpreted),,interpreted,1192,1199,99.42,231,231,100.0,1199,231
2026-W19,2026-05-08,5972a064c9,json,Oracle,Store_Relational,compiled,512,1199,42.7,123,231,53.25,1199,231
2026-W19,2026-05-08,5972a064c9,json,Postgres,Store_Relational,compiled,676,1199,56.38,152,231,65.8,1199,231
2026-W19,2026-05-08,5972a064c9,json,PythonLegendQL,Reverse_PCT,compiled,608,1199,50.71,130,231,56.28,1193,225
2026-W19,2026-05-08,5972a064c9,json,PythonPandasAPI,Reverse_PCT,compiled,610,1199,50.88,133,231,57.58,1193,225
2026-W19,2026-05-08,5972a064c9,json,SQL,Reverse_PCT,compiled,469,1199,39.12,112,231,48.48,1193,225
2026-W19,2026-05-08,5972a064c9,json,Snowflake,Store_Relational,compiled,910,1199,75.9,195,231,84.42,1199,231
2026-W19,2026-05-08,5972a064c9,json,Spanner,Store_Relational,compiled,304,1199,25.35,95,231,41.13,1199,231
2026-W19,2026-05-08,5972a064c9,json,SqlServer,Store_Relational,compiled,358,1199,29.86,101,231,43.72,1199,231
2026-W19,2026-05-08,5972a064c9,json,Trino,Store_Relational,compiled,516,1199,43.04,132,231,57.14,1199,231
2026-W20,2026-05-15,7284bf50a8,json,ClickHouse,Store_Relational,compiled,547,1199,45.62,139,231,60.17,1199,231
2026-W20,2026-05-15,7284bf50a8,json,Databricks,Store_Relational,compiled,619,1199,51.63,149,231,64.5,1199,231
2026-W20,2026-05-15,7284bf50a8,json,Deephaven,Store_Deephaven,compiled,66,1199,5.5,29,231,12.55,673,125
2026-W20,2026-05-15,7284bf50a8,json,DuckDB,Store_Relational,compiled,929,1199,77.48,196,231,84.85,1199,231
2026-W20,2026-05-15,7284bf50a8,json,H2,Store_Relational,compiled,690,1199,57.55,157,231,67.97,1199,231
